TWEET,POLARITY,SUBJECTIVITY
SpaceX realign Falcon Heavy Static Fire test for Tuesday - The second most important part of Falcon Heavy’s debut h… https://t.co/3VVX6EDOVN,0.1666666666666667, 0.5666666666666667
#digitalecom SpaceX to fire up Falcon Heavy's 27 engines this week - CNET - Elon Musk's next big thing will get ful… https://t.co/daoOgEnKpo,-0.06666666666666667, 0.19999999999999998
RT @MikeQuindazzi: Top #tech companies where people most want to work. @SpaceX @Google @Shopify @Tesla @Netflix @SlackHQ @Atlassian @Hulu @…,0.5, 0.5
RT @ClickHole: Space Flight Setback: SpaceX Has Lost A Falcon 9 Rocket After It Landed In A Mean Old Neighbor’s Backyard https://t.co/Gs1Gg…,-0.10625, 0.44375
SpaceX to fire up Falcon Heavy's 27 engines this week - CNET - Elon Musk's next big thing will get fully lit up for… https://t.co/tHB2quWTBx,-0.06666666666666667, 0.19999999999999998
Intriguing #Space news from https://t.co/ptEDfWjuXm: Safety Panel Raises Concerns about SpaceX Falcon 9 Pressure Ve… https://t.co/8vVOfU1A7A,0.30000000000000004, 0.4
Did SpaceX just lose a secret US spy satellite?,-0.4, 0.7
I added a video to a @YouTube playlist https://t.co/SPTPhE9ouK SpaceX CRS-13 Falcon 9 Rocket Launch and Landing,0.0, 0.0
DID YOU SEE THIS?
World’s Coolest Selfie! 
#selfie #space #astronaut #Pilot #CEO #businessman #boss… https://t.co/rksHQmeZsb,0.0, 0.0
@Jeff2Serenity @TrampolinRocket @John_Gardi @TheLurioReport @SpaceX Heck  even Andy Pazstor is more objective wrt S… https://t.co/OfyB4XE6Bp,0.25, 0.3
Elon Musk: Tesla  SpaceX  and the Quest for a Fantastic Future https://t.co/oxKsaz5eRa,0.2, 0.5125
RT @digikey: After a month long stay at the #space station  Dragon capsule returns to Earth via @DigitalTrends https://t.co/wlPg8tF7gv http…,-0.05, 0.4
Commercial Crew Test Launches by SpaceX  Boeing Will Begin This Year,0.0, 0.0
@Jeff2Serenity @TrampolinRocket @TheLurioReport @SpaceX Yeah  I know. I DID read it (know thine enemy). 😎,0.0, 0.0
RT @webdevMason: Gwynne Shotwell is a personal hero. She’s President &amp; COO at SpaceX.

“SpaceX has a female president?”

Yeah  it does. If…,0.0, 0.23333333333333334
RT @ClickHole: Space Flight Setback: SpaceX Has Lost A Falcon 9 Rocket After It Landed In A Mean Old Neighbor’s Backyard https://t.co/Gs1Gg…,-0.10625, 0.44375
RT @SpeakToMeInDots: This is how much they tell us it costs to send things (ie: gorilla suit  guitars  flutes  stuffed toys  etc) to the im…,0.2, 0.2
RT @ClickHole: Space Flight Setback: SpaceX Has Lost A Falcon 9 Rocket After It Landed In A Mean Old Neighbor’s Backyard https://t.co/Gs1Gg…,-0.10625, 0.44375
SpaceXu2019s Falcon Heavy rocket sets up at Cape Canaveral ahead of launch  SpaceX won’t hit its 2017 target for a… https://t.co/lABPgmFa8n,-0.2, 0.5
SpaceX to fire up Falcon Heavy's 27 engines this week https://t.co/VgmBv3Xd7c via @CNET,-0.2, 0.5
RT @ClickHole: Space Flight Setback: SpaceX Has Lost A Falcon 9 Rocket After It Landed In A Mean Old Neighbor’s Backyard https://t.co/Gs1Gg…,-0.10625, 0.44375
@elonmusk Hi Elon! Our local students would LOVE a trip to SpaceX! Your media relations team told us you do not do… https://t.co/SbZ0sYlVbo,0.3125, 0.3
NASA Safety Watchdogs Raise Concerns About SpaceX  Boeing Spacecraft https://t.co/NahF5nGskE,0.0, 0.0
RT @SatSpy: A #satellite that might have been called #Zuma  may or may not have been launched and lost on a #SpaceX #Falcon9 mission. We ca…,0.0, 0.0
RT @ClickHole: Space Flight Setback: SpaceX Has Lost A Falcon 9 Rocket After It Landed In A Mean Old Neighbor’s Backyard https://t.co/Gs1Gg…,-0.10625, 0.44375
https://t.co/LpZbUHgSMS,0.0, 0.0
RT @jeff_foust: Statement from SpaceX’s Gwynne Shotwell this morning that Falcon 9 “did everything correctly” on the Zuma launch; claims to…,0.0, 0.0
RT @wavetossed: #QAnon Here is an interesting 8239 https://t.co/VHYYU9wEpv
Not Spacex Falcon9 Vandenberg  or is it about to be? Future Mars…,0.25, 0.3125
RT @webdevMason: Gwynne Shotwell is a personal hero. She’s President &amp; COO at SpaceX.

“SpaceX has a female president?”

Yeah  it does. If…,0.0, 0.23333333333333334
@TrampolinRocket @John_Gardi @TheLurioReport @SpaceX Look at where he works and where they get funding.  No surpris… https://t.co/Eyw0DxDaC5,0.0, 0.0
#QAnon Here is an interesting 8239 https://t.co/VHYYU9wEpv
Not Spacex Falcon9 Vandenberg  or is it about to be? Future Mars shot?,0.25, 0.3125
RT @iamkarenmunoz: Awww 
@elonmusk #elonmusk @SpaceX https://t.co/r14O4kHa92,0.4, 0.9
@322997am1 @SpaceX @NASA Definitely due to the heat of reentry. The Dragon is doing about 17 000mph in orbit  and m… https://t.co/7DYDyvu1Hx,-0.125, 0.375
RT @ClickHole: Space Flight Setback: SpaceX Has Lost A Falcon 9 Rocket After It Landed In A Mean Old Neighbor’s Backyard https://t.co/Gs1Gg…,-0.10625, 0.44375
I added a video to a @YouTube playlist https://t.co/a8LFFKbxXs Unsuccessful launch of SpaceX? UFO? massive light in LOS ANGELES sky,0.2, 0.85
How reusable rockets are paving the way for the next phase of space exploration https://t.co/iYk1iVLCBl,0.0, 0.0
Safety Panel Raises Concerns about #SpaceX Falcon 9 Pressure Vessel for Commercial Crew Missions #NASA  https://t.co/NxS27BTIL7,0.0, 0.0
RT @ClickHole: Space Flight Setback: SpaceX Has Lost A Falcon 9 Rocket After It Landed In A Mean Old Neighbor’s Backyard https://t.co/Gs1Gg…,-0.10625, 0.44375
